entry,00001030,entrypoint
z_skelanime,800A106C,SkelAnime_DrawFlexLod
z_skelanime,800A1344,SkelAnime_DrawLimbOpa
z_skelanime,800A15C8,SkelAnime_DrawOpa
z_skelanime,800A180C,SkelAnime_DrawFlexLimbOpa
z_skelanime,800A1AC8,SkelAnime_DrawFlexOpa
z_skelanime,800A1D8C,SkelAnime_GetFrameData
z_skelanime,800A1FC8,Animation_GetLength
z_skelanime,800A2000,Animation_GetLastFrame
z_skelanime,800A2044,SkelAnime_DrawLimb
z_skelanime,800A2288,SkelAnime_Draw
z_skelanime,800A24A0,SkelAnime_DrawFlexLimb
z_skelanime,800A273C,SkelAnime_DrawFlex
z_skelanime,800A29BC,SkelAnime_GetFrameDataLegacy
z_skelanime,800A2DBC,Animation_GetLimbCountLegacy
z_skelanime,800A2DF4,Animation_GetLengthLegacy
z_skelanime,800A2E2C,Animation_GetLastFrameLegacy
z_skelanime,800A2E70,SkelAnime_InterpFrameTable
z_skelanime,800A32EC,AnimationContext_Reset
z_skelanime,800A32F4,AnimationContext_SetNextQueue
z_skelanime,800A3310,AnimationContext_DisableQueue
z_skelanime,800A3334,AnimationContext_AddEntry
z_skelanime,800A336C,AnimationContext_SetLoadFrame
z_skelanime,800A3478,AnimationContext_SetCopyAll
z_skelanime,800A34DC,AnimationContext_SetInterp
z_skelanime,800A3548,AnimationContext_SetCopyTrue
z_skelanime,800A35B4,AnimationContext_SetCopyFalse
z_skelanime,800A3620,AnimationContext_SetMoveActor
z_skelanime,800A3678,AnimationContext_LoadFrame
z_skelanime,800A36A4,AnimationContext_CopyAll
z_skelanime,800A3714,AnimationContext_Interp
z_skelanime,800A3770,AnimationContext_CopyTrue
z_skelanime,800A37F0,AnimationContext_CopyFalse
z_skelanime,800A3874,AnimationContext_MoveActor
z_skelanime,800A390C,AnimationContext_Update
z_skelanime,800A39AC,SkelAnime_InitLink
z_skelanime,800A3EE8,Animation_SetMorph
z_skelanime,800A4478,Animation_OnFrameImpl
z_skelanime,800A457C,SkelAnime_Init
z_skelanime,800A46F8,SkelAnime_InitFlex
z_skelanime,800A487C,SkelAnime_InitSkin
z_skelanime,800A49B0,SkelAnime_SetUpdate
z_skelanime,800A49FC,SkelAnime_Update
z_skelanime,800A4A20,SkelAnime_Morph
z_skelanime,800A4AD8,SkelAnime_MorphTaper
z_skelanime,800A4C58,SkelAnime_AnimateFrame
z_skelanime,800A4D9C,SkelAnime_LoopFull
z_skelanime,800A4E38,SkelAnime_LoopPartial
z_skelanime,800A4EE0,SkelAnime_Once
z_skelanime,800A4FE4,Animation_ChangeImpl
z_skelanime,800A51A0,Animation_Change
z_skelanime,800A51E8,Animation_PlayOnce
z_skelanime,800A5240,Animation_MorphToPlayOnce
z_skelanime,800A529C,Animation_PlayOnceSetSpeed
z_skelanime,800A52F8,Animation_PlayLoop
z_skelanime,800A534C,Animation_MorphToLoop
z_skelanime,800A5384,Animation_PlayLoopSetSpeed
z_skelanime,800A53DC,Animation_EndLoop
z_skelanime,800A5408,Animation_Reverse
z_skelanime,800A5428,SkelAnime_CopyFrameTableTrue
z_skelanime,800A5490,SkelAnime_CopyFrameTableFalse
z_skelanime,800A54FC,SkelAnime_UpdateTranslation
z_skelanime,800A56C8,Animation_OnFrame
z_skelanime,800A56F0,SkelAnime_Free
z_skelanime,800A5774,SkelAnime_CopyFrameTable
z_skin,800A57C0,func_800A57C0
z_skin,800A598C,func_800A598C
z_skin,800A5E28,func_800A5E28
z_skin,800A5F60,func_800A5F60
z_skin,800A60D8,func_800A60D8
z_skin,800A6330,func_800A6330
z_skin,800A6360,func_800A6360
z_skin,800A6394,func_800A6394
z_skin,800A63CC,func_800A63CC
z_skin,800A6408,func_800A6408
z_skin_awb,800A6460,func_800A6460
z_skin_awb,800A663C,func_800A663C
z_skin_awb,800A6888,func_800A6888
z_skin_awb,800A698C,func_800A698C
z_skin_awb,800A6AC4,func_800A6AC4
z_skin_matrix,800A6E10,SkinMatrix_Vec3fMtxFMultXYZW
z_skin_matrix,800A6EF4,SkinMatrix_Vec3fMtxFMultXYZ
z_skin_matrix,800A6FA0,SkinMatrix_MtxFMtxFMult
z_skin_matrix,800A72FC,SkinMatrix_GetClear
z_skin_matrix,800A730C,SkinMatrix_Clear
z_skin_matrix,800A735C,SkinMatrix_MtxFCopy
z_skin_matrix,800A73E0,SkinMatrix_Invert
z_skin_matrix,800A76A4,SkinMatrix_SetScale
z_skin_matrix,800A7704,SkinMatrix_SetRotateRPY
z_skin_matrix,800A7894,SkinMatrix_SetRotateYRP
z_skin_matrix,800A7A24,SkinMatrix_SetTranslate
z_skin_matrix,800A7A84,SkinMatrix_SetScaleRotateRPYTranslate
z_skin_matrix,800A7B04,SkinMatrix_SetScaleRotateYRPTranslate
z_skin_matrix,800A7B84,SkinMatrix_SetRotateRPYTranslate
z_skin_matrix,800A7BE4,SkinMatrix_Vec3fToVec3s
z_skin_matrix,800A7C20,SkinMatrix_Vec3sToVec3f
z_skin_matrix,800A7C60,SkinMatrix_MtxFToMtx
z_skin_matrix,800A7E70,SkinMatrix_MtxFToNewMtx
z_skin_matrix,800A7EC0,func_800A7EC0
z_skin_matrix,800A8030,func_800A8030
z_sram,800A81A0,Sram_InitNewSave
z_sram,800A82C8,Sram_InitDebugSave
z_sram,800A8484,Sram_OpenSave
z_sram,800A88D4,Sram_WriteSave
z_sram,800A8A20,Sram_VerifyAndLoadAllSaves
z_sram,800A9258,Sram_InitSave
z_sram,800A96D0,Sram_EraseSave
z_sram,800A97F0,Sram_CopySave
z_sram,800A9A9C,Sram_Write16Bytes
z_sram,800A9AD0,Sram_InitSram
z_sram,800A9CD4,Sram_Alloc
z_sram,800A9D28,Sram_Init
z_ss_sram,800A9D40,SsSram_Init
z_ss_sram,800A9E14,SsSram_Dma
z_ss_sram,800A9EA0,SsSram_ReadWrite
code_800A9F30,800A9F30,func_800A9F30
code_800A9F30,800A9F6C,func_800A9F6C
code_800A9F30,800AA000,func_800AA000
code_800A9F30,800AA0B4,func_800AA0B4
code_800A9F30,800AA0F0,func_800AA0F0
code_800A9F30,800AA148,func_800AA148
code_800A9F30,800AA15C,func_800AA15C
code_800A9F30,800AA16C,func_800AA16C
code_800A9F30,800AA178,func_800AA178
z_view,800AA190,View_ViewportToVp
z_view,800AA1F8,View_New
z_view,800AA250,View_Free
z_view,800AA278,View_Init
z_view,800AA358,func_800AA358
z_view,800AA3F0,func_800AA3F0
z_view,800AA43C,View_SetScale
z_view,800AA454,View_GetScale
z_view,800AA460,func_800AA460
z_view,800AA48C,func_800AA48C
z_view,800AA4A8,func_800AA4A8
z_view,800AA4E0,func_800AA4E0
z_view,800AA4FC,View_SetViewport
z_view,800AA52C,View_GetViewport
z_view,800AA550,func_800AA550
z_view,800AA76C,func_800AA76C
z_view,800AA78C,func_800AA78C
z_view,800AA7AC,func_800AA7AC
z_view,800AA7B8,func_800AA7B8
z_view,800AA814,func_800AA814
z_view,800AA840,func_800AA840
z_view,800AA890,func_800AA890
z_view,800AAA50,func_800AAA50
z_view,800AAA9C,func_800AAA9C
z_view,800AB0A8,func_800AB0A8
z_view,800AB2C4,func_800AB2C4
z_view,800AB560,func_800AB560
z_view,800AB944,func_800AB944
z_view,800AB9EC,func_800AB9EC
z_view,800ABE74,func_800ABE74
z_vimode,800AC030,ViMode_LogPrint
z_vimode,800AC2F4,ViMode_Configure
z_vimode,800AC89C,ViMode_Save
z_vimode,800AC9A4,ViMode_Load
z_vimode,800ACA28,ViMode_Init
z_vimode,800ACA90,ViMode_Destroy
z_vimode,800ACA98,ViMode_ConfigureFeatures
z_vimode,800ACAF8,ViMode_Update
code_800ACE70,800ACE70,func_800ACE70
code_800ACE70,800ACE90,func_800ACE90
code_800ACE70,800ACE98,func_800ACE98
z_vismono,800AD000,VisMono_Init
z_vismono,800AD054,VisMono_Destroy
z_vismono,800AD080,VisMono_UpdateTexture
z_vismono,800AD394,VisMono_DrawTexture
z_vismono,800AD5C0,VisMono_Draw
z_vismono,800AD870,VisMono_DrawOld
code_800AD920,800AD920,func_800AD920
code_800AD920,800AD950,func_800AD950
code_800AD920,800AD958,func_800AD958
z_vr_box,800ADBB0,func_800ADBB0
z_vr_box,800AE2C0,func_800AE2C0
z_vr_box,800AEFC8,func_800AEFC8
z_vr_box,800AF178,func_800AF178
z_vr_box,800AF218,func_800AF218
z_vr_box,800B0E50,func_800B0E50
z_vr_box_draw,800B1030,SkyboxDraw_UpdateMatrix
z_vr_box_draw,800B10C4,SkyboxDraw_Draw
z_vr_box_draw,800B1744,SkyboxDraw_Update
z_player_call,800B1750,PlayerCall_InitFuncPtrs
z_player_call,800B17B4,PlayerCall_Init
z_player_call,800B17F8,PlayerCall_Destroy
z_player_call,800B1834,PlayerCall_Update
z_player_call,800B1870,PlayerCall_Draw
z_fbdemo,800B18B0,TransitionUnk_InitGraphics
z_fbdemo,800B1CFC,TransitionUnk_InitData
z_fbdemo,800B1DBC,TransitionUnk_Destroy
z_fbdemo,800B1E84,TransitionUnk_Init
z_fbdemo,800B2074,TransitionUnk_SetData
z_fbdemo,800B2188,TransitionUnk_Draw
z_fbdemo,800B22B4,TransitionUnk_Update
z_fbdemo,800B23E8,func_800B23E8
z_fbdemo,800B23F0,func_800B23F0
z_fbdemo_triforce,800B2400,TransitionTriforce_Start
z_fbdemo_triforce,800B2438,TransitionTriforce_Init
z_fbdemo_triforce,800B24D0,TransitionTriforce_Destroy
z_fbdemo_triforce,800B24D8,TransitionTriforce_Update
z_fbdemo_triforce,800B25EC,TransitionTriforce_SetColor
z_fbdemo_triforce,800B25F4,TransitionTriforce_SetType
z_fbdemo_triforce,800B25FC,TransitionTriforce_SetState
z_fbdemo_triforce,800B2604,TransitionTriforce_Draw
z_fbdemo_triforce,800B2944,TransitionTriforce_IsDone
z_fbdemo_wipe1,800B29D0,TransitionWipe_Start
z_fbdemo_wipe1,800B2A88,TransitionWipe_Init
z_fbdemo_wipe1,800B2AB0,TransitionWipe_Destroy
z_fbdemo_wipe1,800B2AB8,TransitionWipe_Update
z_fbdemo_wipe1,800B2B98,TransitionWipe_Draw
z_fbdemo_wipe1,800B2DD4,TransitionWipe_IsDone
z_fbdemo_wipe1,800B2DDC,TransitionWipe_SetType
z_fbdemo_wipe1,800B2E1C,TransitionWipe_SetColor
z_fbdemo_wipe1,800B2E24,TransitionWipe_SetEnvColor
z_fbdemo_circle,800B2E30,TransitionCircle_Start
z_fbdemo_circle,800B301C,TransitionCircle_Init
z_fbdemo_circle,800B3044,TransitionCircle_Destroy
z_fbdemo_circle,800B304C,TransitionCircle_Update
z_fbdemo_circle,800B31D0,TransitionCircle_Draw
z_fbdemo_circle,800B346C,TransitionCircle_IsDone
z_fbdemo_circle,800B3474,TransitionCircle_SetType
z_fbdemo_circle,800B34CC,TransitionCircle_SetColor
z_fbdemo_circle,800B34D4,TransitionCircle_SetEnvColor
z_fbdemo_fade,800B34E0,TransitionFade_Start
z_fbdemo_fade,800B3538,TransitionFade_Init
z_fbdemo_fade,800B3560,TransitionFade_Destroy
z_fbdemo_fade,800B3568,TransitionFade_Update
z_fbdemo_fade,800B3718,TransitionFade_Draw
z_fbdemo_fade,800B37DC,TransitionFade_IsDone
z_fbdemo_fade,800B37E4,TransitionFade_SetColor
z_fbdemo_fade,800B37EC,TransitionFade_SetType
shrink_window,800B3840,ShrinkWindow_SetVal
shrink_window,800B3898,ShrinkWindow_GetVal
shrink_window,800B38A4,ShrinkWindow_SetCurrentVal
shrink_window,800B38FC,ShrinkWindow_GetCurrentVal
shrink_window,800B3908,ShrinkWindow_Init
shrink_window,800B3968,ShrinkWindow_Destroy
shrink_window,800B39B8,ShrinkWindow_Update
db_camera,800B3B50,func_800B3B50
db_camera,800B3BD4,func_800B3BD4
db_camera,800B3DF8,func_800B3DF8
db_camera,800B3EBC,func_800B3EBC
db_camera,800B3EFC,func_800B3EFC
db_camera,800B3F38,func_800B3F38
db_camera,800B3F54,func_800B3F54
db_camera,800B3F94,func_800B3F94
db_camera,800B3FF4,func_800B3FF4
db_camera,800B404C,func_800B404C
db_camera,800B4088,func_800B4088
db_camera,800B41DC,func_800B41DC
db_camera,800B42C0,func_800B42C0
db_camera,800B4370,func_800B4370
db_camera,800B44E0,func_800B44E0
db_camera,800B4920,func_800B4920
db_camera,800B4A68,func_800B4A68
db_camera,800B4AA8,func_800B4AA8
db_camera,800B4AE4,func_800B4AE4
db_camera,800B4B20,func_800B4B20
db_camera,800B4D58,DbgCamera_Init
db_camera,800B4DE4,DbgCamera_Enable
db_camera,800B4E7C,DbgCamera_Update
db_camera,800B8730,func_800B8730
db_camera,800B87D8,func_800B87D8
db_camera,800B8978,func_800B8978
db_camera,800B8A0C,func_800B8A0C
db_camera,800B8BA4,func_800B8BA4
db_camera,800B8BB0,func_800B8BB0
db_camera,800B8DB0,func_800B8DB0
db_camera,800B8F30,func_800B8F30
db_camera,800B8F58,func_800B8F58
db_camera,800B9060,func_800B9060
db_camera,800B91B0,func_800B91B0
db_camera,800B958C,DbgCamera_FirstInit
db_camera,800B9638,func_800B9638
code_800BB0A0,800BB0A0,func_800BB0A0
code_800BB0A0,800BB2B4,func_800BB2B4
mempak,800BB570,Mempak_Init
mempak,800BB5E8,Mempak_GetFreeBytes
mempak,800BB5F8,Mempak_FindFile
mempak,800BB764,Mempak_Write
mempak,800BB838,Mempak_Read
mempak,800BB90C,Mempak_Alloc
mempak,800BBB6C,Mempak_DeleteFile
mempak,800BBC14,Mempak_GetFileSize
z_kaleido_manager,800BBC90,KaleidoManager_LoadOvl
z_kaleido_manager,800BBD60,KaleidoManager_ClearOvl
z_kaleido_manager,800BBDB4,KaleidoManager_Init
z_kaleido_manager,800BBEB0,KaleidoManager_Destroy
z_kaleido_manager,800BBEEC,KaleidoManager_GetRamAddr
z_kaleido_scope_call,800BBFC0,KaleidoScopeCall_LoadPlayer
z_kaleido_scope_call,800BC050,KaleidoScopeCall_Init
z_kaleido_scope_call,800BC138,KaleidoScopeCall_Destroy
z_kaleido_scope_call,800BC168,KaleidoScopeCall_Update
z_kaleido_scope_call,800BC3D0,KaleidoScopeCall_Draw
z_play,800BC450,func_800BC450
z_play,800BC490,func_800BC490
z_play,800BC56C,func_800BC56C
z_play,800BC590,func_800BC590
z_play,800BC5E0,func_800BC5E0
z_play,800BC88C,func_800BC88C
z_play,800BC8A0,func_800BC8A0
z_play,800BC8EC,Gameplay_Destroy
z_play,800BCA64,Gameplay_Init
z_play,800BD314,Gameplay_Update
z_play,800BED40,Gameplay_DrawOverlayElements
z_play,800BEDD8,Gameplay_Draw
z_play,800BFAE4,Gameplay_Main
z_play,800BFC84,Gameplay_InCsMode
z_play,800BFCB8,func_800BFCB8
z_play,800BFE5C,Gameplay_LoadFile
z_play,800BFEC4,Gameplay_InitSkybox
z_play,800BFF0C,Gameplay_InitScene
z_play,800C0008,Gameplay_SpawnScene
z_play,800C016C,func_800C016C
z_play,800C0230,Gameplay_CreateSubCamera
z_play,800C030C,Gameplay_GetActiveCamId
z_play,800C0314,Gameplay_ChangeCameraStatus
z_play,800C0384,Gameplay_ClearCamera
z_play,800C0438,Gameplay_ClearAllSubCameras
z_play,800C04A4,Gameplay_GetCamera
z_play,800C04D8,Gameplay_CameraSetAtEye
z_play,800C05E4,Gameplay_CameraSetAtEyeUp
z_play,800C0704,Gameplay_CameraSetFov
z_play,800C0744,Gameplay_SetCameraRoll
z_play,800C078C,Gameplay_CopyCamera
z_play,800C0808,func_800C0808
z_play,800C0874,Gameplay_CameraChangeSetting
z_play,800C08AC,func_800C08AC
z_play,800C09A4,Gameplay_CameraGetUID
z_play,800C09D8,func_800C09D8
z_play,800C0A44,Gameplay_SaveSceneFlags
z_play,800C0A88,Gameplay_SetRespawnData
z_play,800C0AF4,Gameplay_SetupRespawnPoint
z_play,800C0B60,Gameplay_TriggerVoidOut
z_play,800C0BB4,Gameplay_LoadToLastEntrance
z_play,800C0C88,Gameplay_TriggerRespawn
z_play,800C0CB8,func_800C0CB8
z_play,800C0D28,FrameAdvance_IsEnabled
z_play,800C0D34,func_800C0D34
z_play,800C0DB4,func_800C0DB4
PreRender,800C0E70,PreRender_SetValuesSave
PreRender,800C0EA8,PreRender_Init
PreRender,800C0ED8,PreRender_SetValues
PreRender,800C0F08,PreRender_Destroy
PreRender,800C0F28,func_800C0F28
PreRender,800C1258,func_800C1258
PreRender,800C170C,func_800C170C
PreRender,800C1AE8,func_800C1AE8
PreRender,800C1B24,func_800C1B24
PreRender,800C1E9C,func_800C1E9C
PreRender,800C1F20,func_800C1F20
PreRender,800C1FA4,func_800C1FA4
PreRender,800C20B4,func_800C20B4
PreRender,800C2118,func_800C2118
PreRender,800C213C,func_800C213C
PreRender,800C24BC,func_800C24BC
PreRender,800C24E0,func_800C24E0
PreRender,800C2500,func_800C2500
PreRender,800C2FE4,func_800C2FE4
PreRender,800C3770,PreRender_Calc
TwoHeadArena,800C3880,THGA_Ct
TwoHeadArena,800C38A0,THGA_Dt
TwoHeadArena,800C38C0,THGA_IsCrash
TwoHeadArena,800C38E0,THGA_Init
TwoHeadArena,800C3900,THGA_GetSize
TwoHeadArena,800C3920,THGA_GetHead
TwoHeadArena,800C3940,THGA_SetHead
TwoHeadArena,800C3960,THGA_GetTail
TwoHeadArena,800C3980,THGA_AllocStartArray8
TwoHeadArena,800C39A0,THGA_AllocStart8
TwoHeadArena,800C39C0,THGA_AllocStart8Wrapper
TwoHeadArena,800C39E0,THGA_AllocEnd
TwoHeadArena,800C3A00,THGA_AllocEndArray64
TwoHeadArena,800C3A20,THGA_AllocEnd64
TwoHeadArena,800C3A40,THGA_AllocEndArray16
TwoHeadArena,800C3A60,THGA_AllocEnd16
TwoHeadArena,800C3A80,THA_GetHead
TwoHeadArena,800C3A88,THA_SetHead
TwoHeadArena,800C3A90,THA_GetTail
TwoHeadArena,800C3A98,THA_AllocStart
TwoHeadArena,800C3AA8,THA_AllocStart1
TwoHeadArena,800C3AC8,THA_AllocEnd
TwoHeadArena,800C3B54,THA_AllocEndAlign16
TwoHeadArena,800C3B70,THA_AllocEndAlign
TwoHeadArena,800C3B88,THA_GetSize
TwoHeadArena,800C3B98,THA_IsCrash
TwoHeadArena,800C3BBC,THA_Init
TwoHeadArena,800C3BD4,THA_Ct
TwoHeadArena,800C3BF8,THA_Dt
code_800C3C20,800C3C20,func_800C3C20
audioMgr,800C3C80,func_800C3C80
audioMgr,800C3CB8,AudioMgr_HandleRetrace
audioMgr,800C3E40,AudioMgr_HandlePRENMI
audioMgr,800C3E70,AudioMgr_ThreadEntry
audioMgr,800C3FC4,AudioMgr_Unlock
audioMgr,800C3FEC,AudioMgr_Init
title_setup,800C40B0,TitleSetup_InitImpl
title_setup,800C40FC,TitleSetup_Destroy
title_setup,800C4104,TitleSetup_Init
game,800C4130,GameState_FaultPrint
game,800C41F0,GameState_SetFBFilter
game,800C4344,func_800C4344
game,800C4558,GameState_DrawInputDisplay
game,800C46EC,GameState_Draw
game,800C48CC,GameState_SetFrameBuffer
game,800C49F4,func_800C49F4
game,800C4A98,GameState_ReqPadData
game,800C4AC8,GameState_Update
game,800C4E80,GameState_InitArena
game,800C4F20,GameState_Realloc
game,800C5080,GameState_Init
game,800C5360,GameState_Destroy
game,800C546C,GameState_GetInit
game,800C5474,GameState_GetSize
game,800C547C,GameState_IsRunning
game,800C5484,GameState_Alloc
game,800C5584,GameState_AllocEndAlign16
game,800C55A4,GameState_GetArenaSize
gamealloc,800C55D0,GameAlloc_Log
gamealloc,800C563C,GameAlloc_MallocDebug
gamealloc,800C56B0,GameAlloc_Malloc
gamealloc,800C5724,GameAlloc_Free
gamealloc,800C57CC,GameAlloc_Cleanup
gamealloc,800C5834,GameAlloc_Init
graph,800C5850,Graph_FaultClient
graph,800C58BC,Graph_DisassembleUCode
graph,800C5AB0,Graph_UCodeFaultClient
graph,800C5B14,Graph_InitTHGA
graph,800C5C2C,Graph_GetNextGameState
graph,800C5D08,Graph_Init
graph,800C5D94,Graph_Destroy
graph,800C5DC0,Graph_TaskSet00
graph,800C61D8,Graph_Update
graph,800C6844,Graph_ThreadEntry
graph,800C69CC,Graph_Alloc
graph,800C6A48,Graph_Alloc2
graph,800C6AC4,Graph_OpenDisps
graph,800C6B54,Graph_CloseDisps
graph,800C6C20,Graph_GfxPlusOne
graph,800C6C28,Graph_BranchDlist
graph,800C6C3C,Graph_DlistAlloc
main,800C6DD0,Main_LogSystemHeap
main,800C6E20,Main
padmgr,800C7250,PadMgr_LockSerialMesgQueue
padmgr,800C72FC,PadMgr_UnlockSerialMesgQueue
padmgr,800C73BC,PadMgr_LockPadData
padmgr,800C73E4,PadMgr_UnlockPadData
padmgr,800C740C,PadMgr_RumbleControl
padmgr,800C7818,PadMgr_RumbleStop
padmgr,800C7928,PadMgr_RumbleReset
padmgr,800C7934,PadMgr_RumbleSetSingle
padmgr,800C7948,PadMgr_RumbleSet
padmgr,800C7974,PadMgr_ProcessInputs
padmgr,800C7C14,PadMgr_HandleRetraceMsg
padmgr,800C7DD0,PadMgr_HandlePreNMI
padmgr,800C7E08,PadMgr_RequestPadData
padmgr,800C7F80,PadMgr_ThreadEntry
padmgr,800C819C,PadMgr_Init
sched,800C82A0,Sched_SwapFrameBuffer
sched,800C84E4,func_800C84E4
sched,800C8534,Sched_HandleReset
sched,800C87CC,Sched_HandleStart
sched,800C87F0,Sched_QueueTask
sched,800C8910,Sched_Yield
sched,800C89D4,func_800C89D4
sched,800C8A94,Sched_Schedule
sched,800C8BC4,func_800C8BC4
sched,800C8C40,Sched_IsComplete
sched,800C8CB8,Sched_RunTask
sched,800C8EDC,Sched_HandleEntry
sched,800C9018,Sched_HandleRetrace
sched,800C91BC,Sched_HandleRSPDone
sched,800C94B4,Sched_HandleRDPDone
sched,800C95F8,Sched_SendEntryMsg
sched,800C9644,Sched_ThreadEntry
sched,800C9874,Sched_Init
speed_meter,800C9940,SpeedMeter_InitImpl
speed_meter,800C9998,SpeedMeter_Init
speed_meter,800C99BC,SpeedMeter_Destroy
speed_meter,800C99C4,SpeedMeter_DrawTimeEntries
speed_meter,800C9E08,SpeedMeter_InitAllocEntry
speed_meter,800C9E44,SpeedMeter_DrawAllocEntry
speed_meter,800CA104,SpeedMeter_DrawAllocEntries
sys_cfb,800CA3A0,SysCfb_Init
sys_cfb,800CA4EC,SysCfb_Reset
sys_cfb,800CA508,SysCfb_GetFbPtr
sys_cfb,800CA530,SysCfb_GetFbEnd
sys_math,800CA540,Math_FactorialF
sys_math,800CA63C,Math_Factorial
sys_math,800CA6FC,Math_PowF
sys_math,800CA720,Math_SinF
sys_math,800CA774,Math_CosF
sys_math3d,800CA7D0,Math3D_PlaneVsLineSegClosestPoint
sys_math3d,800CA8E8,Math3D_LineSegMakePerpLineSeg
sys_math3d,800CAB94,Math3D_LineClosestToPoint
sys_math3d,800CACAC,Math3D_FindPointOnPlaneIntersect
sys_math3d,800CAD08,Math3D_PlaneVsPlaneNewLine
sys_math3d,800CAEE8,Math3D_PlaneVsPlaneVsLineClosestPoint
sys_math3d,800CAF5C,Math3D_PointOnInfiniteLine
sys_math3d,800CAFA0,Math3D_LineSplitRatio
sys_math3d,800CAFEC,Math3D_Cos
sys_math3d,800CB010,Math3D_CosOut
sys_math3d,800CB0C0,Math3D_Vec3fReflect
sys_math3d,800CB198,Math3D_PointInSquare2D
sys_math3d,800CB1F8,Math3D_CirSquareVsTriSquare
sys_math3d,800CB338,Math3D_SphCubeVsTriCube
sys_math3d,800CB55C,Math3D_Dist1DSq
sys_math3d,800CB570,Math3D_Dist1D
sys_math3d,800CB594,Math3D_Dist2DSq
sys_math3d,800CB5D8,Math3D_Dist2D
sys_math3d,800CB600,Math3D_Vec3fMagnitudeSq
sys_math3d,800CB628,Math3D_Vec3fMagnitude
sys_math3d,800CB650,Math3D_Vec3fDistSq
sys_math3d,800CB678,Math3D_Vec3f_DistXYZ
sys_math3d,800CB698,Math3D_DistXYZ16toF
sys_math3d,800CB70C,Math3D_Vec3fDiff_CrossZ
sys_math3d,800CB744,Math3D_Vec3fDiff_CrossX
sys_math3d,800CB77C,Math3D_Vec3fDiff_CrossY
sys_math3d,800CB7B4,Math3D_Vec3f_Cross
sys_math3d,800CB824,Math3D_SurfaceNorm
sys_math3d,800CB88C,Math3D_PointRelativeToCubeFaces
sys_math3d,800CB934,Math3D_PointRelativeToCubeEdges
sys_math3d,800CBAE4,Math3D_PointRelativeToCubeVertices
sys_math3d,800CBC60,Math3D_LineVsCube
sys_math3d,800CC6D8,Math3D_LineVsCubeShort
sys_math3d,800CC824,Math3D_RotateXZPlane
sys_math3d,800CC8B4,Math3D_DefPlane
sys_math3d,800CC9C8,Math3D_Planef
sys_math3d,800CCA04,Math3D_Plane
sys_math3d,800CCA3C,Math3D_UDistPlaneToPos
sys_math3d,800CCB0C,Math3D_DistPlaneToPos
sys_math3d,800CCBE4,Math3D_TriChkPointParaYImpl
sys_math3d,800CCF00,Math3D_TriChkPointParaYDeterminate
sys_math3d,800CCF48,Math3D_TriChkPointParaYSlopedY
sys_math3d,800CCF98,Math3D_TriChkPointParaYIntersectDist
sys_math3d,800CD044,Math3D_TriChkPointParaYIntersectInsideTri
sys_math3d,800CD0F0,Math3D_TriChkPointParaY
sys_math3d,800CD168,Math3D_TriChkLineSegParaYIntersect
sys_math3d,800CD2D8,Math3D_TriChkPointParaYDist
sys_math3d,800CD34C,Math3D_TriChkPointParaXImpl
sys_math3d,800CD668,Math3D_TriChkPointParaXDeterminate
sys_math3d,800CD6B0,Math3D_TriChkPointParaXIntersect
sys_math3d,800CD760,Math3D_TriChkPointParaX
sys_math3d,800CD7D8,Math3D_TriChkLineSegParaXIntersect
sys_math3d,800CD95C,Math3D_TriChkPointParaXDist
sys_math3d,800CD9D0,Math3D_TriChkPointParaZImpl
sys_math3d,800CDD18,Math3D_TriChkPointParaZDeterminate
sys_math3d,800CDD60,Math3D_TriChkPointParaZIntersect
sys_math3d,800CDE10,Math3D_TriChkPointParaZ
sys_math3d,800CDE88,Math3D_TriChkLineSegParaZIntersect
sys_math3d,800CE010,Math3D_TriChkLineSegParaZDist
sys_math3d,800CE084,Math3D_LineSegFindPlaneIntersect
sys_math3d,800CE15C,Math3D_LineSegVsPlane
sys_math3d,800CE25C,Math3D_TriLineIntersect
sys_math3d,800CE3C0,Math3D_TriNorm
sys_math3d,800CE46C,Math3D_PointInSph
sys_math3d,800CE4B8,Math3D_PointDistToLine2D
sys_math3d,800CE600,Math3D_LineVsSph
sys_math3d,800CE800,Math3D_GetSphVsTriIntersectPoint
sys_math3d,800CE934,Math3D_TriVsSphIntersect
sys_math3d,800CED50,Math3D_PointInCyl
sys_math3d,800CEE0C,Math3D_CylVsLineSeg
sys_math3d,800CF7D0,Math3D_CylTriVsIntersect
sys_math3d,800CFC4C,Math3D_CylVsTri
sys_math3d,800CFC6C,Math3D_SphVsSph
sys_math3d,800CFC8C,Math3D_SphVsSphOverlap
sys_math3d,800CFCAC,Math3D_SphVsSphOverlapCenter
sys_math3d,800CFD84,Math3D_SphVsCylOverlapDist
sys_math3d,800CFDA4,Math3D_SphVsCylOverlapCenterDist
sys_math3d,800CFF14,Math3D_CylOutsideCyl
sys_math3d,800CFF34,Math3D_CylOutsideCylDist
sys_math3d,800D0104,Math3D_TriVsTriIntersect
sys_math3d,800D0480,Math3D_XZInSphere
sys_math3d,800D04F0,Math3D_XYInSphere
sys_math3d,800D0560,Math3D_YZInSphere
sys_math3d,800D05D0,Math3D_DrawSphere
sys_math3d,800D05DC,Math3D_DrawCylinder
sys_math_atan,800D05F0,Math_GetAtan2Tbl
sys_math_atan,800D0664,Math_Atan2S
sys_math_atan,800D07D4,Math_Atan2F
